Date,Closing,Opening,High,Low,Volume,Diff %
20.09.2021,2976.05,3328.49,3344.04,2931.64,1720000.00,-10.61000
19.09.2021,3329.12,3435.92,3455.67,3282.85,614000.00,-3.11000
18.09.2021,3435.97,3398.55,3539.5,3371.33,600190.00,1.1000
17.09.2021,3398.65,3569.92,3592.2,3352.32,748100.00,-4.78000
16.09.2021,3569.43,3612.23,3672.68,3488.53,195790.00,-1.18000
15.09.2021,3611.9,3430.36,3612.29,3361.63,790270.00,5.34000
14.09.2021,3428.87,3284.65,3428.87,3270.91,720340.00,4.39000
13.09.2021,3284.52,3408.17,3429.24,3118.66,1340000.00,-3.63000
12.09.2021,3408.28,3267.33,3469.5,3231.87,805970.00,4.31000
11.09.2021,3267.33,3209.37,3345.37,3202.41,732950.00,1.87000
10.09.2021,3207.27,3423.87,3512.9,3156.28,1210000.00,-6.32000
09.09.2021,3423.51,3498.92,3564.3,3395.94,1090000.00,-2.05000
08.09.2021,3495.1,3424.35,3557.67,3221.6,780680.00,2.1000
07.09.2021,3423.12,3926.84,3945.79,3061.3,2470000.00,-12.84000
06.09.2021,3927.21,3950.2,3968.2,3867.55,764560.00,-0.59000
05.09.2021,3950.62,3885.4,3981.22,3834.74,714160.00,1.69000
04.09.2021,3884.97,3938.45,3968.33,3844.07,672530.00,-1.3000
03.09.2021,3936.29,3785.85,4024.89,3715.97,1200000.00,3.96000
